time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1592352000,13149.89,12504.15,12811.1,196.2,2495662.98,12762.87,direct,
1592438400,12885.14,12510,12762.87,167.77,2124498.76,12645.47,direct,
1592524800,12783.55,11800.23,12645.47,202.71,2546543.56,12534.53,direct,
1592611200,12735.56,12360.52,12534.53,142.73,1787447.94,12586.57,direct,
1592697600,12690.11,12189.85,12586.57,117.41,1481976.03,12550.29,direct,
1592784000,13110.83,12518.81,12550.29,199.13,2552757.92,13020.94,direct,
1592870400,13199.54,12851.76,13020.94,244.12,3163189.47,12928.2,direct,
1592956800,13000.78,12435.54,12928.2,232.72,2941491.9,12521.88,direct,
1593043200,12829.56,12146.42,12521.88,271.05,3406204.47,12610.76,direct,
1593129600,12729.75,12367.35,12610.76,174.44,2186895.3,12538.31,direct,
1593216000,12592.6,12200,12538.31,40.71,505907.25,12380,direct,
1593302400,12690.06,12170.39,12425.95,3218.55,40258641.85,12508.32,invert_divide,ETH
1593388800,12665.6,12400,12531.6,98.63,1232550.63,12599,direct,
1593475200,12625.4,12419.81,12599,200.51,2502578.81,12438.27,direct,
1593561600,12672.71,12394.28,12438.27,162.72,2038586.67,12580.39,direct,
1593648000,13288.28,12219,12580.39,195.39,2436040.77,12354.4,direct,
1593734400,12540.85,12290.3,12354.4,159.88,1974732.05,12316.23,direct,
1593820800,12523.8,12240.81,12316.23,111.47,1375849.07,12388.02,direct,
1593907200,12599.25,12156.09,12388.02,166.28,2046091.49,12333.98,direct,
1593993600,12705.42,12302.48,12333.98,238.45,2983875.54,12674.36,direct,
1594080000,12859.6,12501.65,12674.36,212.14,2671377.12,12569.95,direct,
1594166400,12934.28,12533.79,12569.95,241.26,3066411.6,12797.81,direct,
1594252800,12826.49,12473.81,12797.81,234.61,2965271.97,12539.75,direct,
1594339200,12718.33,12411.09,12539.75,208.1,2605198.83,12619.4,direct,
1594425600,12655.51,12489.35,12619.4,130.06,1634057.73,12547.62,direct,
1594512000,12663.78,12478.11,12547.62,114.2,1434918.57,12631.06,direct,
1594598400,12926.28,12520.16,12631.06,221.88,2796131.71,12564.42,direct,
1594684800,12691.8,12435.55,12564.42,216.4,2713780.99,12590.84,direct,
1594771200,12825.48,12472.31,12590.84,213.51,2678585.94,12532.86,direct,
1594857600,12628.04,12316.38,12532.86,238.49,2963681.98,12434.48,direct,
1594944000,12573.76,12382.38,12434.48,133.29,1659333.11,12501.88,direct,
1595030400,12709.37,12411.22,12501.88,95.44,1190813.99,12497.2,direct,
1595116800,12580.29,12414.84,12497.2,87.39,1089684.48,12536.02,direct,
1595203200,12581.67,12415.65,12536.02,187.85,2347450.1,12458.63,direct,
1595289600,12816.63,12457.68,12458.63,292.54,3707728.51,12732.47,direct,
1595376000,12969.45,12596.97,12732.47,242.62,3084529.36,12969.45,direct,
1595462400,12984.24,12785.37,12969.45,348.66,4494307.45,12952.75,direct,
1595548800,13206.62,12768.53,12952.75,243.25,3149644.94,12941.86,direct,
1595635200,13207.51,12917.14,12941.86,193.39,2517616.06,13121.76,direct,
1595721600,13664.06,13058.31,13121.76,310.46,4142957.14,13486.19,direct,
1595808000,15212,13472.03,13486.19,557.37,7926914.89,14826.79,direct,
1595894400,15106.37,14371.46,14826.79,628.85,9375852.4,14793.14,direct,
1595980800,15421.78,14712.83,14793.14,352.7,5302044.7,15015.97,direct,
1596067200,15229.09,13749.21,15015.97,300.06,4490423.02,15064.64,direct,
